,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,2,0,0,0,2,0,2,4,0,4,2,0,0,
2,0,0,0,2,0,6,2,2,0,2,0,0,0,0,2,0,
3,0,0,2,0,2,0,0,0,0,4,2,0,2,0,0,4,
4,0,0,0,2,0,0,6,0,0,2,0,4,2,0,0,0,
5,0,4,0,0,0,2,2,0,0,0,4,0,2,0,0,2,
6,0,0,0,4,0,4,0,0,0,0,0,0,2,2,2,2,
7,0,0,2,2,2,0,2,0,0,2,2,0,0,0,0,4,
8,0,0,0,0,0,0,2,2,0,0,0,4,0,4,2,2,
9,0,2,0,0,2,0,0,4,2,0,2,2,2,0,0,0,
10,0,2,2,0,0,0,0,0,6,0,0,2,0,0,4,0,
11,0,0,8,0,0,2,0,2,0,0,0,0,0,2,0,2,
12,0,2,0,0,2,2,2,0,0,0,0,2,0,6,0,0,
13,0,4,0,0,0,0,0,4,2,0,2,0,2,0,2,0,
14,0,0,2,4,2,0,0,0,6,0,0,0,0,0,2,0,
15,0,2,0,0,6,0,0,0,0,4,0,2,0,0,2,0,
